,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameter_value,player_2_prob,player_1_prob,Prediction,Actual,Correct Prediction,,R2,,Random,Random Prediction,Correct Prediction,R2
1,Roger Federer,Dominic Thiem,0.038115291,-0.005608036,0.053742878,-0.07933742,0.067308038,0.07540009,0.39379845,0.252331002,0.01875,0.23901708,0.76098292,1,1,1,,0.664536741,,0.96780737,1,1,0.496805112
6,Bernard Tomic,Kei Nishikori,0.043268603,-0.015663362,-0.020360501,0.021114503,-0.065199323,0.00136759,-0.073758865,-0.133333333,0.075,0.593116114,0.406883886,0,1,0,,,,0.686437948,1,1,
9,Hyeon Chung,Marin Cilic,-0.077955322,0.020184571,-0.063037453,0.049662302,0.111616704,0.077052269,-0.138957816,-0.113636364,0.1,0.555201038,0.444798962,0,0,1,,,,0.024313369,0,1,
14,Mikhail Kukushkin,Kei Nishikori,-0.023097129,-0.009829921,-0.07636965,0.10840352,-0.056915595,0.03682943,-0.253333333,-0.361904762,0.1,0.720698776,0.279301224,0,0,1,,,,0.386812036,0,1,
25,Borna Coric,Stanislas Wawrinka,-0.044049295,0.001996445,-0.070643638,0.107176411,-0.022599914,-0.010063355,-0.320900774,-0.278508772,0.0875,0.727577688,0.272422312,0,0,1,,,,0.948153055,1,0,
32,Stanislas Wawrinka,Andrey Rublev,0.041334772,-0.009119921,0.085180865,-0.10641738,0.023511283,0.023534771,0.401360544,0.45112782,0,0.230106092,0.769893908,1,1,1,,,,0.484441508,0,0,
34,Lukas Rosol,Benoit Paire,-0.021805907,0.001323005,-0.006938072,-0.021129557,-0.078574483,-0.099484781,-0.142857143,-0.183598531,0.0625,0.618366273,0.381633727,0,0,1,,,,0.75812507,1,0,
37,John Millman,Roberto Bautista Agut,-0.017614612,-0.002777579,-0.014236314,0.060319345,-0.029076443,-0.053636428,-0.261904762,-0.218559219,0.1,0.686754759,0.313245241,0,0,1,,,,0.107580113,0,1,
43,Santiago Giraldo,Lukas Rosol,-0.030582471,-0.030087154,-0.053665905,0.023665308,0.04166545,0.016464646,-0.142857143,0.068065797,0.1,0.567404156,0.432595844,0,0,1,,,,0.185157908,0,1,
73,Illya Marchenko,David Ferrer,0.031843308,-0.000634267,0.032249291,-0.023529412,-0.180352163,-0.138138016,-0.572727273,-0.45862069,0.1,0.823556079,0.176443921,0,1,0,,,,0.972190133,1,1,
76,Aslan Karatsev,Robin Haase,-0.038305284,0.006325065,-0.075941104,0.042124711,0.215489749,-0.080694981,0.166666667,0.142857143,0,0.344325297,0.655674703,1,0,0,,,,0.750577663,1,0,
79,Jack Sock,David Ferrer,0.047594956,0.027361663,0.051476694,-0.03252818,-0.112170345,0.004666458,-0.136363636,-0.107457899,0.08,0.611120754,0.388879246,0,1,0,,,,0.823875539,1,1,
80,Roberto Bautista Agut,Jo Wilfried Tsonga,-0.07574906,-0.00757897,-0.072162748,0.048009734,0.029195257,0.060431839,-0.094417077,-0.037851038,0.066666667,0.559040103,0.440959897,0,1,0,,,,0.238468172,0,0,
85,Benoit Paire,Lukas Rosol,0.021805907,-0.001323005,0.006938072,0.021129557,0.078574483,0.099484781,0.142857143,0.183598531,0.0375,0.381124578,0.618875422,1,0,0,,,,0.481778019,0,1,
90,Fabio Fognini,Thiemo De Bakker,-0.052709262,0.025497587,-0.061840583,0.058837545,0.096616972,0.078224299,0.428571429,0.112195122,0,0.288463041,0.711536959,1,1,1,,,,0.038815096,0,0,
92,Guillermo Garcia Lopez,Lukas Rosol,-0.006383552,-0.001232257,0.008653989,-0.003333619,0.088075272,0.083816892,0.126984127,0.176079734,0.055555556,0.379254418,0.620745582,1,0,0,,,,0.066448727,0,1,
94,Pablo Andujar,Robin Haase,-0.035389855,-0.003186347,-0.045117575,0.027011775,0.057789544,-0.033728249,-0.151515152,0.00952381,0.025,0.551083956,0.448916044,0,0,1,,,,0.194963612,0,1,
102,Viktor Troicki,Grigor Dimitrov,0.031529497,-0.011033487,-0.0098729,0.017869168,0.000253949,0.023222989,-0.043650794,-0.048979592,0.044444444,0.525777782,0.474222218,0,1,0,,,,0.211130987,0,0,
114,Pablo Cuevas,Grigor Dimitrov,-0.018854602,-0.00030545,-0.049197034,0.027109568,0.009283568,0.064947976,-0.19047619,-0.063414634,0.08,0.604089818,0.395910182,0,0,1,,,,0.289534852,0,1,
116,Gilles Muller,Dominic Thiem,0.088760124,0.013817106,0.052316365,-0.034349783,-0.056907759,0.052427525,0.094308943,0.04,0.054545455,0.459071161,0.540928839,1,1,1,,,,0.253197754,0,0,
119,Teymuraz Gabashvili,Leonardo Mayer,-0.019310959,0.015204258,-0.023895728,0.069377543,0.024344407,0.060540758,-0.079545455,0.11827957,0.02,0.536208337,0.463791663,0,1,0,,,,0.601323584,1,1,
123,Thomaz Bellucci,Alexandr Dolgopolov,-0.017104325,0.007227247,-0.025643611,0.022489643,-0.008427184,-0.03450699,-0.079283887,-0.203174603,0.1,0.588783392,0.411216608,0,0,1,,,,0.160766503,0,1,
124,Alexander Sarkissian,Simone Bolelli,0.066612792,0.019216641,0.118961643,-0.028141269,-0.05328201,-0.071078431,-0.016129032,0.033333333,0,0.491251162,0.508748838,1,1,1,,,,0.298223386,0,0,
126,Jeremy Chardy,Mikhail Kukushkin,0.053757869,0.029192884,0.074987605,-0.069763363,-0.018013878,-0.030785962,0.060540541,0.128571429,0.033333333,0.432775966,0.567224034,1,1,1,,,,0.87362404,1,1,
130,Ivan Dodig,Quentin Halys,0.014776836,0.002204558,0.054110087,0.007692308,0.177864992,0.256294964,0.428571429,0.4375,0,0.191213283,0.808786717,1,0,0,,,,0.601776971,1,0,
132,Teymuraz Gabashvili,Andreas Seppi,-0.003577282,0.025002153,-0.009317815,-0.009159101,-0.046282934,-0.046845872,-0.141129032,-0.07111437,0.057142857,0.598427288,0.401572712,0,0,1,,,,0.179579646,0,1,
138,Pablo Andujar,Pierre Hugues Herbert,-0.122480829,-0.025572681,-0.121277311,0.102096366,0.073695143,0.041609589,-0.363636364,-0.133333333,0,0.661602106,0.338397894,0,0,1,,,,0.029133216,0,1,
140,Paul Henri Mathieu,Guillermo Garcia Lopez,-0.000168383,-0.003326115,-0.031341207,0.037080556,-0.045969932,-0.014938453,-0.430555556,-0.285714286,0.066666667,0.736783425,0.263216575,0,0,1,,,,0.239894243,0,1,
142,Austin Krajicek,Di Wu,0.092204801,0.004871999,0.176933205,-0.299770549,-0.151515152,-0.138095238,0.4375,0.411764706,0,0.22344418,0.77655582,1,1,1,,,,0.854511205,1,1,
147,Leonardo Mayer,Dominic Thiem,0.008089685,0.008414742,-0.001429631,-0.016967413,-0.03604167,-0.017568877,-0.012121212,-0.262820513,0.042857143,0.532263614,0.467736386,0,0,1,,,,0.755573118,1,0,
148,Julien Benneteau,Nicolas Almagro,-0.00014303,-0.012028447,-0.017704193,0.01772784,-0.078292578,-0.064935065,-0.083333333,-0.223076923,0.1,0.622471181,0.377528819,0,0,1,,,,0.362855592,0,1,
149,Damir Dzumhur,Kyle Edmund,-0.012164225,0.002029915,0.017420145,0.018143866,0.113226847,-0.048076923,0.25,0.261538462,0,0.32081972,0.67918028,1,1,1,,,,0.472491012,0,0,
150,David Goffin,Sergiy Stakhovsky,0.001134934,0.019287898,0.02365384,0.028165381,0.081654203,0.010623658,0.064516129,0.068777833,0.033333333,0.431814466,0.568185534,1,1,1,,,,0.708710017,1,1,
151,Marin Cilic,Thiemo De Bakker,0.041969875,0.008565441,0.032833194,-0.058732484,0.00795068,0.038830084,0.677419355,0.213636364,0.1,0.212097212,0.787902788,1,1,1,,,,0.884510705,1,1,
155,Nick Kyrgios,Pablo Carreno Busta,0.07228899,0.014678769,0.06070574,-0.083993282,-0.041132199,0.00102682,0.212276215,0.122222222,0.033333333,0.371512741,0.628487259,1,1,1,,,,0.226508219,0,0,
173,James Duckworth,Lleyton Hewitt,0.035125218,-0.002034405,0.035905417,-0.079128857,-0.084587696,-0.036653839,0.053571429,0.321428571,0,0.44367905,0.55632095,1,0,0,,,,0.083334943,0,1,
174,Jordan Thompson,Thomaz Bellucci,-0.042733897,0.032687152,-0.076928805,0.038321168,-0.089492754,-0.129487179,-0.391304348,-0.511111111,0.1,0.781596822,0.218403178,0,0,1,,,,0.98194593,1,0,
175,Aljaz Bedene,Steve Johnson,-0.01775585,0.003052784,-0.003690533,0.069227999,0.021779539,0.048423938,-0.130434783,0.012106538,0.05,0.571030025,0.428969975,0,0,1,,,,0.400096729,0,1,
180,Diego Sebastian Schwartzman,John Millman,0.002471282,0.016769362,-0.05945844,0.088284398,0.067374982,0.05657323,0.121212121,-0.009615385,0,0.446215979,0.553784021,1,0,0,,,,0.229619079,0,1,
183,Donald Young,Santiago Giraldo,0.00747976,0.037741624,0.02264186,0.022545402,0.016580276,0.014375,0.297619048,0.179487179,0.02,0.357382122,0.642617878,1,0,0,,,,0.730910492,1,0,
187,Denis Kudla,Andreas Seppi,0.002375419,0.015755609,-0.05009329,0.018052545,-0.038239685,0.032091097,-0.222011385,0.048701299,0.1,0.644405725,0.355594275,0,0,1,,,,0.55129038,1,0,
189,Evgeny Donskoy,Gilles Simon,0.022334487,0.012415497,0.044586462,-0.025871023,-0.09351732,-0.082243217,-0.069444444,-0.148148148,0.1,0.595457229,0.404542771,0,0,1,,,,0.555395056,1,0,
193,Alexandr Dolgopolov,Roger Federer,-0.024045898,0.013002532,-0.058899488,0.106043122,-0.045958781,0.008121976,-0.389876881,-0.393939394,0.1,0.765636552,0.234363448,0,0,1,,,,0.768545497,1,0,
195,Damir Dzumhur,David Goffin,-0.04140618,-0.018410337,-0.090636606,0.10472132,-0.006268863,0.021254374,-0.298387097,-0.049099836,0.05,0.686183372,0.313816628,0,0,1,,,,0.649244246,1,0,
196,Marin Cilic,Albert Ramos,0.090352582,0.00099666,0.102596595,-0.079213584,-0.013223067,0.017718972,0.210752688,0.338235294,0.014285714,0.331739115,0.668260885,1,1,1,,,,0.300448128,0,0,
197,Roberto Bautista Agut,Dusan Lajovic,0.003983993,0.001930554,0.039603053,-0.066394574,0.013006355,0.061494821,0.322510823,0.1515617,0.05,0.307568577,0.692431423,1,1,1,,,,0.635325269,1,1,
200,Andrey Kuznetsov,Jeremy Chardy,-0.032019548,-0.020320238,-0.052137701,0.098685022,0.026459356,0.051165526,-0.096096096,-0.192307692,0.1,0.601432888,0.398567112,0,1,0,,,,0.518571075,1,1,
202,Rajeev Ram,Stephane Robert,0.054654174,-0.024287383,0.114503502,-0.217396891,-0.07109965,0,0.25,0.333333333,0,0.276675773,0.723324227,1,0,0,,,,0.336802455,0,1,
209,Feliciano Lopez,Guido Pella,0.084456843,0.007053337,0.055008318,-0.029494382,0.010157546,-0.109191919,0.338235294,1,0,0.282379743,0.717620257,1,1,1,,,,0.231739083,0,0,
210,Marcel Granollers,John Isner,-0.167269361,0.006521503,-0.095670266,0.186009022,0.098941114,0.057357995,-0.335947712,-0.300333704,0.088888889,0.708368875,0.291631125,0,0,1,,,,0.474957709,0,1,
212,Gilles Muller,John Millman,0.13280721,0.020868111,0.097356088,-0.099644073,-0.059756968,0.001456329,0.227642276,0.54,0,0.330686059,0.669313941,1,0,0,,,,0.164666965,0,1,
215,Novak Djokovic,Andreas Seppi,0.004617097,-0.007449391,0.015180087,-0.122295086,0.110106657,0.020674,0.404505888,0.390316206,0.008333333,0.208062436,0.791937564,1,1,1,,,,0.665137707,1,1,
220,David Goffin,Dominic Thiem,0.004291196,0.018603848,-0.005908104,0.056494615,0.072854607,0.058529934,0.08172043,-0.085515548,0.05,0.4566687,0.5433313,1,1,1,,,,0.095973293,0,0,
221,Roberto Bautista Agut,Marin Cilic,-0.088194563,-0.004631412,-0.065606258,0.020005349,0.048462319,0.056249643,-0.08218126,-0.01046176,0.05,0.522518886,0.477481114,0,1,0,,,,0.711078265,1,1,
224,Gael Monfils,Stephane Robert,0.056387311,-0.013701774,0.095570575,-0.215795603,0.020994399,0.031685237,0.6,0.477777778,0,0.144865747,0.855134253,1,1,1,,,,0.892788352,1,1,
227,Steve Johnson,David Ferrer,0.093227498,-0.003767166,0.057880826,-0.042627014,-0.159428642,-0.07829912,-0.14229249,-0.199298656,0.090909091,0.645171873,0.354828127,0,0,1,,,,0.06370631,0,1,
231,Novak Djokovic,Gilles Simon,0.029439403,-0.008469532,0.058394938,-0.134197424,0.040881281,-0.031904362,0.295634921,0.26489533,0.009090909,0.267830571,0.732169429,1,1,1,,,,0.06208194,0,0,
236,Milos Raonic,Stanislas Wawrinka,0.09885654,0.007761738,0.049529676,-0.079681225,-0.09157094,-0.056235557,-0.048979592,-0.044534413,0.075,0.543628558,0.456371442,0,1,0,,,,0.339211794,0,0,
244,Milos Raonic,Andy Murray,0.103736339,0.007421941,0.061125451,-0.099557858,-0.188142472,-0.118768997,-0.074285714,-0.107692308,0.08,0.604172709,0.395827291,0,0,1,,,,0.050061048,0,1,
246,Richard Gasquet,Paul Henri Mathieu,0.009421288,-0.021516545,0.058374971,-0.117625664,0.007784771,-0.014646803,0.567307692,0.420168067,0,0.19015385,0.80984615,1,1,1,,,,0.499029705,0,0,
247,Richard Gasquet,Dustin Brown,-0.025522939,-0.043324219,0.016668795,-0.050995701,0.07343614,0.098243181,0.384615385,0.342245989,0.011111111,0.239726246,0.760273754,1,1,1,,,,0.217323097,0,0,
253,Richard Gasquet,Ernests Gulbis,-0.051128285,-0.049241153,0.016781828,-0.105541531,0.047442753,0.042382375,0.358974359,0.383301708,0,0.237660841,0.762339159,1,1,1,,,,0.238417554,0,0,
256,Jan Lennard Struff,Ruben Bemelmans,0.019458102,0.000956134,0.042276698,-0.026764041,0.006043283,-0.000462695,-0.095238095,-0.2,0,0.510460092,0.489539908,0,0,1,,,,0.417234263,0,1,
260,Alexander Zverev,Marin Cilic,-0.062298652,0.021693874,-0.061788863,0.06613915,-0.000567994,0.057951526,-0.344086022,-0.253636364,0.08,0.70083406,0.29916594,0,1,0,,,,0.313087178,0,0,
