,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
4,Alexandr Dolgopolov,Nick Kyrgios,-0.09397119676392232,-0.010526027843086642,-0.04875228058981285,0.11240417324500723,0.030844723374681467,0.031924200046820506,-0.22904483430799225,-0.11089743589743596,0.08235294117647059,0.6106706920557345,0.3893293079442655,0,0
10,Horacio Zeballos,Alexandr Dolgopolov,-0.015077935785336796,-0.01077265701774487,-0.02565283236259164,-0.01676380004738215,-0.05759626112731225,-0.02607118937550024,-0.09686609686609683,0.09999999999999998,0.07500000000000001,0.5253986640645694,0.47460133593543063,0,0
11,Mischa Zverev,Michael Mmoh,0.001511804392668986,-0.02063818302762533,0.08788335149068283,-0.16892729526726466,0.09008589120447433,0.14709780015902468,0.4736842105263158,0.5306122448979592,0.0,0.2520805014538684,0.7479194985461316,1,0
12,Alex De Minaur,Milos Raonic,-0.14192194562020233,0.002585942646205222,-0.16273208888298407,0.3739356267029973,-0.08992416034669554,-0.05251258863426162,-0.4035087719298245,-0.5142857142857142,0.1,0.8106439731725799,0.18935602682742014,0,1
15,John Millman,Peter Polansky,-0.01821316522257735,-0.021976337375103426,-0.012476425359060015,0.32019900497512443,0.22134238310708895,0.02404181184668991,0.16666666666666669,0.041666666666666685,0.0,0.4703460211104109,0.5296539788895891,1,1
19,Horacio Zeballos,Ernesto Escobedo,-0.0032495136051527147,-0.006115079321611549,0.015984247944373586,-0.04637316561844865,0.00659684788746856,0.06282154589970868,0.027472527472527486,0.16666666666666669,0.06666666666666668,0.45455653293187726,0.5454434670681227,1,1
22,Federico Delbonis,Michael Mmoh,-0.03718552374948285,-0.011133493567643177,0.06211160902181179,-0.16476190476190478,0.10956521739130434,0.11857707509881428,0.5714285714285714,0.5238095238095238,0.0,0.24273366911916572,0.7572663308808343,1,0
25,Jordan Thompson,Jared Donaldson,-0.014545602819414818,-0.013339589359212686,-0.058008307006340964,0.0439530872714729,0.013737108646177163,0.03757388122713201,-0.016129032258064502,-0.05093167701863355,0.06666666666666668,0.548553314492483,0.451446685507517,0,0
28,Andrey Rublev,Guido Pella,0.0009411469582647076,0.014466214877850738,0.010965802726289995,0.12953795379537952,0.13849680007101986,0.07360482654600302,-0.02380952380952384,-0.2327586206896552,0.03333333333333333,0.5483536960579145,0.45164630394208544,0,1
30,Peter Gojowczyk,Gael Monfils,-0.008380887912583831,0.0053957460400487775,0.052990449402175455,-0.0593168310365097,-0.14269281045751636,0.03228228228228225,-0.03157894736842104,-0.03703703703703698,0.1,0.546893173033411,0.453106826966589,0,0
36,Peter Gojowczyk,Matteo Berrettini,0.07918274525252705,0.0021577387614042307,0.16281693880260184,-0.2609561752988048,0.256,0.4444444444444444,0.6,0.08238851095993949,0.0,0.250326984411131,0.749673015588869,1,1
37,Feliciano Lopez,Mirza Basic,0.059130992464325814,-0.002475549142215809,0.04582723573161196,0.014971209213051813,-0.06253108593534124,-0.09347336834208553,-0.303030303030303,0.5227272727272727,0.0,0.4434610864998768,0.5565389135001232,1,0
48,Filip Krajinovic,Peter Gojowczyk,-0.0006728486839137349,-0.02673349721022154,-0.0434367000421243,-0.09618668184405238,-0.04251685393258428,0.08333333333333337,0.11428571428571432,0.15873015873015872,0.0,0.47117181902604965,0.5288281809739503,1,0
